BuildingClass,StreetSize,LotArea,BuildingType,OverallCondition,YearRemodeled,LivingAreaSize,Bathroom,Bedroom,Kitchen,TotalRooms,Fireplaces,GarageCars,GarageArea,SaleCondition,SalePrice
20.0,69.0,7599.0,1Family,6.0,2006.0,845.0,1.0,2.0,1.0,4.0,0.0,2.0,360.0,Normal,129500
60.0,74.0,10141.0,1Family,5.0,1998.0,1718.0,2.0,3.0,1.0,7.0,1.0,2.0,427.0,Normal,185000
20.0,85.0,10200.0,1Family,7.0,2003.0,1086.0,1.0,3.0,1.0,6.0,,2.0,490.0,Normal,144900
50.0,60.0,5790.0,1Family,6.0,1950.0,1605.0,2.0,3.0,2.0,8.0,0.0,1.0,379.0,Normal,107400
180.0,21.0,1596.0,Townhouse,5.0,1973.0,988.0,1.0,2.0,1.0,5.0,0.0,1.0,297.0,Normal,91000
20.0,,8475.0,1Family,7.0,1956.0,952.0,1.0,2.0,1.0,,0.0,1.0,283.0,Normal,135750
50.0,50.0,8635.0,1Family,5.0,2001.0,1285.0,1.0,2.0,1.0,6.0,0.0,1.0,,Normal,127000
90.0,72.0,10778.0,,5.0,1968.0,1768.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,Normal,136500
50.0,60.0,10440.0,1Family,6.0,1981.0,1230.0,1.0,2.0,1.0,5.0,0.0,2.0,440.0,Normal,110000
60.0,100.0,13000.0,1Family,6.0,1968.0,2142.0,2.0,4.0,1.0,8.0,1.0,1.0,509.0,Normal,193500
120.0,32.0,4500.0,Townhouse,5.0,1998.0,1337.0,2.0,2.0,1.0,5.0,0.0,2.0,,,153500
20.0,78.0,10206.0,1Family,5.0,2007.0,1563.0,2.0,3.0,1.0,6.0,1.0,3.0,758.0,Normal,245000
20.0,,8892.0,1Family,5.0,1960.0,1065.0,1.0,3.0,1.0,6.0,0.0,2.0,461.0,,126500
80.0,,8530.0,1Family,5.0,1996.0,1474.0,2.0,3.0,1.0,7.0,,2.0,400.0,Normal,168500
60.0,121.0,,1Family,5.0,1992.0,2417.0,2.0,4.0,1.0,9.0,1.0,2.0,462.0,Normal,260000
60.0,122.0,11911.0,1Family,5.0,2005.0,,2.0,3.0,1.0,6.0,1.0,2.0,400.0,Normal,174000
160.0,40.0,3951.0,Townhouse,5.0,2009.0,1224.0,2.0,,1.0,4.0,0.0,2.0,528.0,Partial,164500
50.0,105.0,8470.0,1Family,2.0,1982.0,1526.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,Abnormal,85000
20.0,60.0,8070.0,1Family,5.0,1995.0,990.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,Normal,123600
20.0,60.0,7200.0,1Family,5.0,1950.0,1040.0,1.0,2.0,1.0,4.0,0.0,2.0,420.0,Normal,109900
20.0,85.0,8500.0,1Family,3.0,1961.0,1235.0,1.0,2.0,1.0,6.0,0.0,2.0,480.0,Abnormal,98600
30.0,80.0,13360.0,1Family,7.0,2006.0,964.0,1.0,2.0,1.0,5.0,0.0,2.0,,Normal,163500
190.0,60.0,7200.0,2Family,,1998.0,2291.0,2.0,,2.0,9.0,1.0,2.0,506.0,Normal,133900
60.0,69.0,9337.0,1Family,5.0,1997.0,1786.0,2.0,3.0,1.0,7.0,0.0,2.0,684.0,Normal,204750
60.0,,9765.0,1Family,8.0,1993.0,1470.0,2.0,3.0,1.0,6.0,1.0,2.0,420.0,Normal,185000
20.0,,10264.0,1Family,5.0,1999.0,1588.0,2.0,3.0,1.0,6.0,0.0,2.0,472.0,Normal,214000
20.0,73.0,10921.0,1Family,5.0,1965.0,960.0,1.0,3.0,1.0,6.0,0.0,1.0,432.0,Normal,94750
30.0,85.0,10625.0,1Family,5.0,1950.0,835.0,1.0,2.0,1.0,5.0,0.0,1.0,,Abnormal,83000
20.0,77.0,9320.0,1Family,5.0,1959.0,1225.0,1.0,3.0,1.0,6.0,0.0,0.0,,Normal,128950
20.0,,10603.0,1Family,7.0,2001.0,1610.0,2.0,,1.0,6.0,2.0,2.0,480.0,Normal,205000
60.0,77.0,,1Family,5.0,1985.0,1732.0,2.0,3.0,1.0,7.0,1.0,2.0,,Normal,178000
90.0,64.0,7018.0,Duplex,5.0,1979.0,1535.0,2.0,4.0,2.0,8.0,0.0,2.0,410.0,Normal,118964
20.0,94.0,10402.0,1Family,5.0,,1226.0,2.0,3.0,1.0,6.0,0.0,3.0,740.0,Normal,198900
50.0,,7758.0,1Family,,1950.0,1818.0,1.0,4.0,1.0,7.0,2.0,1.0,240.0,Normal,169500
60.0,75.0,9375.0,1Family,5.0,2004.0,1992.0,2.0,3.0,1.0,,1.0,,648.0,Normal,250000
30.0,60.0,10800.0,1Family,7.0,1995.0,1047.0,1.0,2.0,1.0,6.0,,1.0,273.0,Normal,100000
20.0,50.0,6000.0,1Family,5.0,1950.0,789.0,1.0,2.0,1.0,5.0,0.0,1.0,250.0,,115000
50.0,85.0,8500.0,1Family,7.0,2005.0,1517.0,2.0,3.0,1.0,7.0,0.0,0.0,0.0,Normal,115000
20.0,,11751.0,1Family,6.0,1977.0,1844.0,2.0,3.0,1.0,7.0,1.0,2.0,546.0,Normal,190000
50.0,75.0,9525.0,1Family,4.0,1972.0,1855.0,2.0,4.0,1.0,7.0,0.0,1.0,325.0,Normal,136900
80.0,,7750.0,1Family,5.0,2000.0,1430.0,2.0,3.0,1.0,7.0,1.0,2.0,400.0,Normal,180000
60.0,,9965.0,1Family,5.0,,2696.0,2.0,4.0,1.0,10.0,1.0,3.0,,Partial,383970
20.0,,,1Family,,1953.0,2259.0,2.0,3.0,1.0,7.0,,2.0,450.0,Abnormal,217000
70.0,61.0,7259.0,1Family,8.0,2002.0,2320.0,2.0,3.0,1.0,9.0,1.0,1.0,180.0,Normal,259500
160.0,34.0,3230.0,Townhouse,5.0,,1458.0,2.0,2.0,1.0,5.0,1.0,2.0,440.0,Normal,176000
20.0,,11616.0,1Family,5.0,,1092.0,1.0,3.0,1.0,6.0,1.0,1.0,288.0,Normal,139000
20.0,74.0,8536.0,1Family,5.0,2007.0,1125.0,1.0,2.0,1.0,5.0,0.0,2.0,430.0,Partial,155000
60.0,90.0,12376.0,1Family,5.0,1990.0,,3.0,5.0,1.0,11.0,2.0,3.0,594.0,,320000
,,8461.0,1Family,5.0,,1456.0,2.0,3.0,1.0,8.0,1.0,2.0,390.0,Partial,163990
,,21453.0,1Family,5.0,1969.0,988.0,1.0,1.0,1.0,,2.0,2.0,,Normal,180000
50.0,50.0,6060.0,1Family,5.0,1950.0,,1.0,3.0,1.0,4.0,0.0,1.0,264.0,Normal,100000
,75.0,9464.0,1Family,7.0,1958.0,1080.0,1.0,3.0,1.0,5.0,0.0,1.0,288.0,Normal,136000
120.0,55.0,7892.0,Townhouse,5.0,1993.0,1199.0,2.0,,1.0,5.0,,2.0,,,153900
20.0,48.0,17043.0,1Family,5.0,1998.0,1586.0,2.0,3.0,1.0,7.0,1.0,2.0,435.0,Normal,181000
190.0,60.0,6780.0,2Family,8.0,1982.0,754.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,Normal,84500
120.0,,4928.0,Townhouse,5.0,1976.0,958.0,2.0,2.0,1.0,5.0,1.0,2.0,440.0,Normal,128000
45.0,55.0,,1Family,7.0,1950.0,840.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,Normal,87000
60.0,69.0,7590.0,1Family,5.0,1966.0,1348.0,1.0,3.0,1.0,6.0,1.0,2.0,453.0,,155000
20.0,69.0,8973.0,1Family,7.0,1991.0,1053.0,1.0,3.0,1.0,6.0,,2.0,750.0,Abnormal,150000
60.0,88.0,14200.0,1Family,6.0,1966.0,2157.0,,4.0,1.0,8.0,2.0,2.0,487.0,Normal,226000
60.0,,12224.0,1Family,5.0,2000.0,2054.0,,3.0,1.0,7.0,1.0,2.0,390.0,Normal,244000
20.0,75.0,7388.0,1Family,6.0,2002.0,1327.0,1.0,3.0,1.0,7.0,0.0,2.0,624.0,Normal,150750
20.0,,6853.0,1Family,5.0,2002.0,1296.0,2.0,,1.0,6.0,0.0,2.0,,Normal,220000
20.0,78.0,10335.0,1Family,6.0,1993.0,1721.0,2.0,3.0,1.0,7.0,1.0,2.0,440.0,Normal,180000
20.0,80.0,10400.0,1Family,6.0,1970.0,1682.0,2.0,,1.0,7.0,1.0,2.0,530.0,,174000
20.0,,10355.0,1Family,5.0,1967.0,1214.0,2.0,3.0,1.0,5.0,1.0,1.0,318.0,Normal,143000
90.0,82.0,11070.0,Duplex,5.0,1989.0,1959.0,3.0,5.0,2.0,9.0,0.0,3.0,,Partial,171000
,73.0,9066.0,1Family,5.0,2000.0,1852.0,2.0,3.0,1.0,7.0,2.0,,660.0,Normal,230000
60.0,65.0,15426.0,1Family,5.0,1997.0,1764.0,2.0,3.0,1.0,7.0,0.0,2.0,470.0,Normal,231500
,70.0,10500.0,1Family,5.0,1971.0,864.0,1.0,3.0,1.0,5.0,1.0,,0.0,Normal,115000
20.0,78.0,11645.0,1Family,5.0,2005.0,1734.0,2.0,3.0,1.0,7.0,0.0,2.0,660.0,Normal,260000
50.0,71.0,8520.0,1Family,4.0,1952.0,1385.0,2.0,4.0,1.0,6.0,0.0,2.0,720.0,Normal,166000
20.0,78.0,10335.0,1Family,5.0,1999.0,1501.0,2.0,3.0,1.0,6.0,0.0,2.0,577.0,Normal,204000
90.0,70.0,9100.0,Duplex,,1963.0,1728.0,2.0,6.0,2.0,10.0,0.0,2.0,504.0,Abnormal,125000
160.0,24.0,2522.0,Townhouse,5.0,2006.0,1709.0,2.0,3.0,1.0,7.0,0.0,2.0,380.0,Normal,130000
30.0,51.0,6120.0,,7.0,1993.0,875.0,1.0,2.0,1.0,5.0,0.0,1.0,180.0,Normal,105000
60.0,,9505.0,1Family,5.0,2001.0,2035.0,2.0,3.0,1.0,,1.0,2.0,434.0,Normal,222500
20.0,63.0,7500.0,1Family,5.0,2005.0,1080.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,Normal,141000
50.0,,6240.0,1Family,4.0,1950.0,1344.0,1.0,3.0,1.0,7.0,0.0,1.0,240.0,Normal,115000
20.0,120.0,10356.0,1Family,6.0,,969.0,1.0,3.0,,5.0,0.0,2.0,440.0,,122000
20.0,,13891.0,1Family,5.0,2008.0,1710.0,2.0,2.0,1.0,6.0,1.0,3.0,866.0,Partial,372402
60.0,,14803.0,,5.0,1971.0,1993.0,,4.0,1.0,,1.0,2.0,495.0,Normal,190000
20.0,,,1Family,7.0,1975.0,1252.0,1.0,1.0,1.0,4.0,1.0,2.0,564.0,Normal,235000
30.0,84.0,11340.0,1Family,5.0,1950.0,1200.0,1.0,4.0,1.0,7.0,0.0,1.0,312.0,,125000
50.0,60.0,9600.0,1Family,5.0,1950.0,1096.0,1.0,2.0,,5.0,0.0,0.0,0.0,Normal,79000
20.0,60.0,7200.0,1Family,7.0,1950.0,1040.0,1.0,2.0,1.0,5.0,0.0,2.0,625.0,,109500
,92.0,12003.0,1Family,5.0,2010.0,1968.0,2.0,4.0,1.0,8.0,1.0,3.0,680.0,Partial,269500
60.0,100.0,12552.0,1Family,5.0,2005.0,1947.0,2.0,3.0,1.0,8.0,1.0,2.0,678.0,Normal,254900
60.0,134.0,19378.0,1Family,5.0,2006.0,2462.0,2.0,4.0,1.0,9.0,1.0,2.0,576.0,Partial,320000
20.0,,11120.0,1Family,6.0,1984.0,1232.0,2.0,3.0,1.0,6.0,0.0,2.0,516.0,,162500
60.0,110.0,13688.0,1Family,5.0,2004.0,2668.0,2.0,3.0,1.0,10.0,2.0,3.0,726.0,Normal,412500
,95.0,12182.0,1Family,5.0,2005.0,1541.0,2.0,3.0,1.0,7.0,1.0,2.0,532.0,Partial,220000
45.0,55.0,5500.0,1Family,6.0,1956.0,882.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,Normal,103200
40.0,40.0,5400.0,1Family,7.0,2004.0,1616.0,2.0,3.0,1.0,5.0,0.0,1.0,216.0,Normal,152000
190.0,62.0,10106.0,2Family,7.0,,1355.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,Normal,127500
20.0,,10708.0,1Family,5.0,1993.0,1867.0,1.0,2.0,1.0,7.0,3.0,1.0,,Normal,190000
60.0,86.0,10562.0,1Family,5.0,,2161.0,1.0,3.0,,8.0,1.0,,789.0,Partial,325624
60.0,62.0,8244.0,1Family,5.0,2004.0,1720.0,2.0,3.0,1.0,7.0,1.0,2.0,440.0,Normal,183500
20.0,,16669.0,1Family,6.0,1981.0,1707.0,2.0,2.0,1.0,6.0,1.0,2.0,511.0,Normal,228000
50.0,,12358.0,1Family,6.0,1950.0,1382.0,1.0,2.0,1.0,7.0,0.0,2.0,660.0,Normal,128500
20.0,141.0,31770.0,1Family,5.0,,1656.0,1.0,3.0,1.0,7.0,2.0,2.0,528.0,Normal,215000
,44.0,5306.0,Townhouse,7.0,1987.0,1767.0,2.0,2.0,1.0,5.0,1.0,2.0,504.0,Normal,239000
20.0,80.0,10197.0,1Family,5.0,1961.0,1362.0,1.0,3.0,1.0,6.0,1.0,2.0,504.0,Normal,163000
20.0,,12416.0,1Family,5.0,1986.0,1651.0,2.0,3.0,1.0,7.0,1.0,2.0,616.0,Normal,184000
20.0,,12615.0,1Family,7.0,2001.0,2158.0,2.0,4.0,1.0,7.0,1.0,2.0,576.0,Normal,243000
,97.0,10029.0,1Family,5.0,1989.0,2060.0,2.0,4.0,1.0,8.0,1.0,2.0,521.0,Normal,211000
50.0,,13650.0,1Family,5.0,1958.0,1920.0,2.0,4.0,1.0,8.0,1.0,2.0,451.0,Normal,172500
20.0,63.0,17423.0,1Family,5.0,2009.0,2234.0,2.0,1.0,1.0,9.0,1.0,3.0,1166.0,Partial,501837
30.0,60.0,8520.0,1Family,6.0,,968.0,1.0,2.0,1.0,5.0,0.0,2.0,480.0,Normal,100000
160.0,,2117.0,Townhouse,5.0,2000.0,1525.0,2.0,3.0,1.0,5.0,1.0,2.0,440.0,Normal,177000
70.0,54.0,7588.0,1Family,6.0,1950.0,1802.0,1.0,4.0,1.0,9.0,1.0,1.0,216.0,Normal,200100
20.0,60.0,9060.0,1Family,6.0,2006.0,1340.0,1.0,,1.0,7.0,1.0,1.0,252.0,Normal,120000
50.0,63.0,11426.0,1Family,5.0,2003.0,2082.0,,3.0,1.0,6.0,0.0,2.0,484.0,Normal,200000
50.0,92.0,7438.0,1Family,8.0,1991.0,1252.0,1.0,3.0,1.0,5.0,0.0,2.0,576.0,Normal,127000
75.0,90.0,22950.0,1Family,9.0,1993.0,3608.0,2.0,4.0,1.0,12.0,2.0,3.0,840.0,Normal,475000
80.0,,9947.0,,5.0,1991.0,1217.0,2.0,3.0,1.0,6.0,0.0,2.0,497.0,Normal,173000
50.0,60.0,10410.0,1Family,7.0,1987.0,1656.0,2.0,3.0,1.0,8.0,0.0,1.0,180.0,Normal,135000
90.0,64.0,,Duplex,5.0,1979.0,1224.0,0.0,2.0,2.0,6.0,2.0,2.0,528.0,Normal,153337
120.0,41.0,4923.0,Townhouse,5.0,2002.0,1593.0,1.0,0.0,1.0,5.0,1.0,2.0,682.0,Normal,286000
70.0,70.0,10570.0,1Family,8.0,1994.0,2727.0,2.0,3.0,1.0,10.0,2.0,2.0,440.0,Normal,315000
60.0,,7472.0,1Family,9.0,2004.0,1479.0,1.0,4.0,1.0,7.0,0.0,2.0,484.0,Normal,184000
20.0,68.0,9017.0,1Family,5.0,1999.0,1431.0,2.0,3.0,1.0,6.0,,2.0,666.0,Normal,192000
160.0,24.0,2522.0,Townhouse,5.0,2004.0,1709.0,2.0,3.0,,7.0,0.0,2.0,380.0,Normal,130000
20.0,60.0,,1Family,7.0,1972.0,864.0,1.0,3.0,1.0,5.0,0.0,1.0,352.0,Normal,127000
160.0,24.0,2280.0,Townhouse,6.0,1976.0,1456.0,2.0,3.0,1.0,7.0,1.0,2.0,440.0,Normal,148500
20.0,79.0,9416.0,1Family,5.0,2007.0,1726.0,2.0,3.0,1.0,8.0,1.0,3.0,786.0,Partial,311872
75.0,174.0,25419.0,1Family,4.0,1990.0,3112.0,2.0,4.0,,8.0,,2.0,795.0,Abnormal,235000
,92.0,5520.0,1Family,6.0,1950.0,2229.0,1.0,5.0,1.0,8.0,0.0,0.0,0.0,Abnormal,104000
20.0,76.0,9591.0,1Family,5.0,2005.0,1713.0,2.0,3.0,1.0,7.0,1.0,3.0,856.0,Normal,274900
20.0,80.0,8546.0,1Family,5.0,2004.0,1121.0,2.0,2.0,1.0,5.0,0.0,2.0,440.0,Normal,140000
20.0,75.0,10125.0,1Family,6.0,1977.0,1279.0,2.0,3.0,1.0,6.0,2.0,2.0,473.0,Normal,171500
50.0,50.0,7000.0,1Family,6.0,1950.0,1310.0,2.0,2.0,1.0,6.0,0.0,1.0,398.0,Normal,112000
120.0,,4438.0,Townhouse,5.0,2004.0,,1.0,1.0,1.0,3.0,1.0,2.0,420.0,Normal,149000
50.0,50.0,3500.0,1Family,7.0,1950.0,1284.0,1.0,2.0,1.0,5.0,0.0,1.0,240.0,Normal,110000
20.0,99.0,11851.0,1Family,5.0,1990.0,1442.0,2.0,3.0,1.0,5.0,0.0,2.0,500.0,Normal,180500
20.0,40.0,13673.0,1Family,5.0,1962.0,1696.0,1.0,3.0,1.0,8.0,1.0,1.0,349.0,Normal,143900
20.0,,12493.0,1Family,5.0,1960.0,1100.0,1.0,3.0,,6.0,1.0,1.0,312.0,Normal,141000
60.0,,14364.0,1Family,5.0,1989.0,2062.0,2.0,3.0,1.0,7.0,1.0,2.0,454.0,Normal,277000
,75.0,8250.0,1Family,7.0,,1092.0,1.0,3.0,1.0,6.0,0.0,2.0,504.0,Normal,145000
30.0,67.0,5604.0,1Family,6.0,1950.0,864.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,Normal,98000
20.0,83.0,10420.0,1Family,5.0,2009.0,1212.0,2.0,3.0,1.0,6.0,0.0,2.0,460.0,Normal,186000
60.0,72.0,,1Family,5.0,2009.0,1852.0,2.0,3.0,,7.0,1.0,2.0,644.0,Partial,252678
20.0,43.0,13568.0,1Family,5.0,1995.0,990.0,1.0,3.0,1.0,5.0,0.0,2.0,576.0,Normal,156000
,,10900.0,1Family,7.0,1977.0,1392.0,,3.0,1.0,6.0,0.0,1.0,,Normal,161750
20.0,72.0,10011.0,1Family,,1996.0,1236.0,1.0,,1.0,6.0,1.0,1.0,447.0,,134450
20.0,65.0,8450.0,1Family,5.0,2004.0,1436.0,2.0,3.0,1.0,8.0,0.0,2.0,484.0,Normal,210000
70.0,57.0,9906.0,1Family,4.0,1950.0,1328.0,1.0,3.0,1.0,8.0,0.0,1.0,210.0,Partial,107000
